N_Threads,Width,Height,NumSamples,RenderType,MinTime,MaxTime,AvgTime
2,256,256,10,col,1.0108,1.19516,1.10298
16,256,256,10,rect,0.374258,0.488,0.437962
16,256,256,10,rect,0.379773,0.534995,0.464549
16,256,256,10,rect,0.333299,0.669812,0.582212
16,256,256,10,rect,0.245909,0.406632,0.336557
16,256,256,10,rect,0.344072,0.544728,0.468624
16,256,256,10,rect,0.259655,0.532315,0.449389
16,256,256,10,row,0.418143,0.582754,0.514145
16,256,256,10,row,0.370156,0.621154,0.528277
16,256,256,10,row,0.431541,0.50293,0.465038
2,256,256,10,row,1.84571,1.8468,1.84625
2,256,256,10,row,1.75988,1.76644,1.76316
2,256,256,10,row,1.85196,1.8557,1.85383
2,256,256,10,row,1.92672,1.93001,1.92836
2,256,256,10,row,1.44766,1.44948,1.44857
2,256,256,10,row,1.76231,1.77467,1.76849
2,256,256,10,row,1.90506,1.90798,1.90652
2,256,256,10,row,1.97938,1.98562,1.9825
2,256,256,10,row,1.94814,1.9535,1.95082
2,256,256,10,row,1.63877,1.82507,1.73192
16,256,256,10,row,0.241006,0.806365,0.575916
16,256,256,10,rect,0.417989,0.650312,0.565006
16,256,256,10,rect,3e-07,0.694539,0.540644
16,256,256,10,rect,2e-07,0.699921,0.558661
16,256,256,10,rect,9e-06,0.876909,0.546342
8,4096,2048,10,rect,1e-07,18.6237,12.8199
16,4096,2048,10,rect,1e-07,17.8953,11.526
8,4096,2048,10,rect,1e-07,14.663,9.98234
8,4096,2048,10,rect,3.4e-06,10.8157,7.11031
16,4096,2048,10,rect,0,8.94409,5.34481
16,4096,2048,10,rect,1e-07,8.8048,5.25511
16,4096,2048,10,rect,0,8.41372,5.01904
16,4096,2048,10,rect,0,8.42223,5.0166
8,4096,2048,10,rect,1e-07,9.58535,6.22915
8,4096,2048,10,rect,0,9.60123,6.22941
16,4096,2048,10,rect,1e-07,8.1128,4.76136
16,4096,2048,10,rect,1e-07,7.6907,4.48877
16,4096,2048,10,rect,1e-07,7.27581,4.13413
16,4096,2048,10,rect,1e-07,7.64002,4.42887
16,4096,2048,10,rect,1e-07,8.16704,4.79157
16,4096,2048,10,rect,0,8.40332,4.92211
16,4096,2048,10,rect,2e-07,11.0472,6.60523
8,4096,2048,10,rect,0,14.2107,9.50376
8,4096,2048,10,rect,1e-07,15.01,10.2405
8,4096,2048,10,rect,1e-07,14.5294,9.89816
8,4096,2048,10,rect,0,16.6902,11.6032
8,4096,2048,10,rect,1e-07,16.8084,11.4627
8,4096,2048,10,rect,1e-07,18.6019,12.5764
8,4096,2048,10,rect,1e-07,18.17,12.683
8,4096,2048,10,rect,1e-07,18.2987,12.0782
15,4096,2048,10,rect,0,13.5153,9.6661
12,4096,2048,10,rect,1e-07,13.7113,10.1517
14,4096,2048,10,rect,1e-07,13.0299,10.0204
3,4096,2048,10,rect,18.8825,26.5002,22.0933
3,4096,2048,10,rect,2e-07,23.8789,15.1342
4,4096,2048,10,rect,2e-07,22.4559,14.215
12,4096,2048,10,rect,4e-07,14.7577,9.83253
12,4096,2048,10,rect,3e-07,17.2541,11.5743
15,4096,2048,10,rect,4e-07,15.1909,10.8787
12,4096,2048,10,rect,1e-07,9.29288,6.66247
12,4096,2048,10,rect,2e-07,8.64658,6.35087
12,4096,2048,10,rect,2e-07,7.97183,5.80362
