Processes,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
1,512,512,200,20,row,16.5574,16.5574,16.5574
1,512,512,200,20,row,16.4611,16.4611,16.4611
1,512,512,200,20,row,16.3909,16.3909,16.3909
1,512,512,200,20,row,16.6056,16.6056,16.6056
1,512,512,200,20,row,16.4806,16.4806,16.4806
1,512,512,200,20,row,16.5255,16.5255,16.5255
1,512,512,200,20,row,16.4375,16.4375,16.4375
1,512,512,200,20,row,16.508,16.508,16.508
1,512,512,200,20,row,16.5642,16.5642,16.5642
1,512,512,200,20,row,16.4769,16.4769,16.4769
1,512,512,200,20,row,16.5629,16.5629,16.5629
1,512,512,200,20,row,16.5167,16.5167,16.5167
1,512,512,200,20,row,16.3115,16.3115,16.3115
1,512,512,200,20,row,16.2798,16.2798,16.2798
1,512,512,200,20,row,16.7141,16.7141,16.7141
1,512,512,200,20,row,17.0034,17.0034,17.0034
1,512,512,200,20,row,17.5136,17.5136,17.5136
1,512,512,200,20,row,16.6171,16.6171,16.6171
1,512,512,200,20,row,16.5601,16.5601,16.5601
1,512,512,200,20,row,16.3006,16.3006,16.3006
2,512,512,200,20,row,7.35534,9.41562,8.38548
2,512,512,200,20,row,7.90628,9.73542,8.82085
2,512,512,200,20,row,7.72224,9.57276,8.6475
2,512,512,200,20,row,7.49329,9.32251,8.4079
2,512,512,200,20,row,7.58555,9.39788,8.49171
2,512,512,200,20,row,7.49996,9.38386,8.44191
2,512,512,200,20,row,7.59727,9.44206,8.51966
2,512,512,200,20,row,7.4678,9.3589,8.41335
2,512,512,200,20,row,7.61544,9.45555,8.5355
2,512,512,200,20,row,8.20626,10.1026,9.15442
2,512,512,200,20,row,7.49243,9.37245,8.43244
2,512,512,200,20,row,7.39203,9.3198,8.35592
2,512,512,200,20,row,7.38318,9.30196,8.34257
2,512,512,200,20,row,7.42609,9.30284,8.36446
2,512,512,200,20,row,7.42798,9.26286,8.34542
2,512,512,200,20,row,7.43267,9.3219,8.37728
2,512,512,200,20,row,7.4826,9.48617,8.48439
2,512,512,200,20,row,7.45923,9.2616,8.36042
2,512,512,200,20,row,7.58639,9.51719,8.55179
2,512,512,200,20,row,7.90935,9.83455,8.87195
4,512,512,200,20,row,3.02472,5.93043,4.94637
4,512,512,200,20,row,3.41474,6.29862,5.31679
4,512,512,200,20,row,3.08902,6.0847,5.08014
4,512,512,200,20,row,3.13552,5.99371,5.03559
4,512,512,200,20,row,3.15667,6.06054,5.10481
4,512,512,200,20,row,3.18618,6.17928,5.14252
4,512,512,200,20,row,3.26879,6.06834,5.13229
4,512,512,200,20,row,3.19623,6.10592,5.11161
4,512,512,200,20,row,3.19475,6.02447,5.05145
4,512,512,200,20,row,3.26603,6.16863,5.1602
4,512,512,200,20,row,3.1326,6.17232,5.11805
4,512,512,200,20,row,3.14064,6.12768,5.08057
4,512,512,200,20,row,3.2436,6.17162,5.17162
4,512,512,200,20,row,3.19777,6.07942,5.10429
4,512,512,200,20,row,3.20433,6.21933,5.16493
4,512,512,200,20,row,3.21926,6.08506,5.127
4,512,512,200,20,row,3.46926,6.54593,5.49777
4,512,512,200,20,row,3.0745,5.93666,4.96985
4,512,512,200,20,row,3.14069,6.01946,5.03094
4,512,512,200,20,row,3.08833,6.02236,5.02906
8,512,512,200,20,row,1.5065,3.57133,2.91877
8,512,512,200,20,row,1.5669,3.66521,2.9743
8,512,512,200,20,row,1.64278,3.70165,3.02639
8,512,512,200,20,row,1.69334,3.67972,2.99526
8,512,512,200,20,row,1.59536,3.80573,3.0368
8,512,512,200,20,row,1.56299,3.84338,3.05756
8,512,512,200,20,row,1.61641,3.81191,3.07268
8,512,512,200,20,row,1.62729,3.79543,3.06487
8,512,512,200,20,row,1.58924,3.69881,3.00844
8,512,512,200,20,row,1.75609,3.77295,3.07529
8,512,512,200,20,row,1.74351,3.85211,3.11916
8,512,512,200,20,row,1.7403,3.78968,3.12646
8,512,512,200,20,row,1.73128,3.83609,3.17272
8,512,512,200,20,row,1.6,3.78641,3.10701
8,512,512,200,20,row,1.62956,3.83718,3.12469
8,512,512,200,20,row,1.72904,3.77598,3.1432
8,512,512,200,20,row,1.72798,3.88698,3.1894
8,512,512,200,20,row,1.59872,3.80487,3.11851
8,512,512,200,20,row,1.68398,4.10898,3.35109
8,512,512,200,20,row,1.75084,3.90792,3.25323
8,1024,1024,200,20,row,7.30391,18.6745,14.1316
8,1024,1024,200,20,row,7.1564,18.6329,13.9807
8,1024,1024,200,20,row,7.55161,18.7591,14.2582
8,1024,1024,200,20,row,7.50578,18.8135,14.2644
8,1024,1024,200,20,row,7.41952,18.7723,14.2873
8,1024,1024,200,20,row,7.69686,18.7522,14.1957
8,1024,1024,200,20,row,8.04819,19.2057,14.6771
8,1024,1024,200,20,row,7.85144,19.4535,14.7814
8,1024,1024,200,20,row,7.76303,19.4272,14.6926
8,1024,1024,200,20,row,7.76861,18.984,14.4959
8,1024,1024,200,20,row,7.49925,19.4701,14.713
8,1024,1024,200,20,row,7.67418,19.4565,14.7377
8,1024,1024,200,20,row,7.66599,19.4279,14.7119
8,1024,1024,200,20,row,8.05495,19.9265,15.208
8,1024,1024,200,20,row,7.77381,19.0292,14.4754
8,1024,1024,200,20,row,7.98338,19.1854,14.6743
8,1024,1024,200,20,row,8.34467,19.5988,15.018
8,1024,1024,200,20,row,8.00643,19.4443,14.8414
8,1024,1024,200,20,row,8.0238,19.5983,15.0312
8,1024,1024,200,20,row,7.82335,19.5628,14.7758
8,512,512,400,20,row,3.65627,8.4292,7.07701
8,512,512,400,20,row,3.6524,8.5259,7.10596
8,512,512,400,20,row,3.95641,8.66105,7.24423
8,512,512,400,20,row,3.76522,8.63213,7.1268
8,512,512,400,20,row,3.77546,8.60237,7.20801
8,512,512,400,20,row,3.68625,8.65731,7.18284
8,512,512,400,20,row,3.80756,8.77071,7.24572
8,512,512,400,20,row,3.75127,8.64736,7.18346
8,512,512,400,20,row,3.79745,8.59353,7.19152
8,512,512,400,20,row,3.73785,8.68989,7.2575
