Processes,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
1,512,512,10,1,row,6.29428,6.29428,6.29428
1,512,512,10,1,row,7.70502,7.70502,7.70502
1,512,512,10,1,row,7.77307,7.77307,7.77307
1,512,512,10,1,row,7.7967,7.7967,7.7967
1,512,512,10,1,row,7.84824,7.84824,7.84824
1,512,512,10,1,row,7.88105,7.88105,7.88105
1,512,512,10,1,row,7.90804,7.90804,7.90804
1,512,512,10,1,row,7.91992,7.91992,7.91992
1,512,512,10,1,row,7.92276,7.92276,7.92276
1,512,512,10,1,row,7.94486,7.94486,7.94486
1,512,512,10,1,row,7.95204,7.95204,7.95204
1,512,512,10,1,row,7.95943,7.95943,7.95943
1,512,512,10,1,row,7.96513,7.96513,7.96513
1,512,512,10,1,row,7.97235,7.97235,7.97235
1,512,512,10,1,row,7.99969,7.99969,7.99969
1,512,512,10,1,row,7.99947,7.99947,7.99947
1,512,512,10,1,row,7.94257,7.94257,7.94257
1,512,512,10,1,row,8.00815,8.00815,8.00815
1,512,512,10,1,row,8.24432,8.24432,8.24432
1,512,512,10,1,row,8.25582,8.25582,8.25582
1,512,512,10,1,row,8.04146,8.04146,8.04146
1,512,512,10,1,row,8.1529,8.1529,8.1529
1,512,512,10,1,row,8.1143,8.1143,8.1143
1,512,512,10,1,row,8.17085,8.17085,8.17085
1,512,512,10,1,row,8.32642,8.32642,8.32642
1,512,512,10,1,row,8.1928,8.1928,8.1928
1,512,512,10,1,row,8.16996,8.16996,8.16996
1,512,512,10,1,row,8.28662,8.28662,8.28662
1,512,512,10,1,row,8.2803,8.2803,8.2803
1,512,512,10,1,row,8.28457,8.28457,8.28457
1,512,512,10,1,row,8.36225,8.36225,8.36225
1,512,512,10,1,row,7.91472,7.91472,7.91472
1,512,512,10,1,row,8.06001,8.06001,8.06001
1,512,512,10,1,row,7.96935,7.96935,7.96935
1,512,512,10,1,row,8.06698,8.06698,8.06698
1,512,512,10,1,row,8.12522,8.12522,8.12522
1,512,512,10,1,row,8.21299,8.21299,8.21299
1,512,512,10,1,row,8.12061,8.12061,8.12061
1,512,512,10,1,row,8.075,8.075,8.075
1,512,512,10,1,row,8.20802,8.20802,8.20802
1,512,512,10,1,row,8.37655,8.37655,8.37655
1,512,512,10,1,row,8.25803,8.25803,8.25803
1,512,512,10,1,row,8.18062,8.18062,8.18062
1,512,512,10,1,row,8.24782,8.24782,8.24782
1,512,512,10,1,row,8.294,8.294,8.294
1,512,512,10,1,row,8.70264,8.70264,8.70264
1,512,512,10,1,row,8.26057,8.26057,8.26057
1,512,512,10,1,row,8.26737,8.26737,8.26737
1,512,512,10,1,row,8.4145,8.4145,8.4145
1,512,512,10,1,row,8.49914,8.49914,8.49914
1,512,512,10,1,row,8.27119,8.27119,8.27119
1,512,512,10,1,row,8.56268,8.56268,8.56268
1,512,512,10,1,row,8.44762,8.44762,8.44762
1,512,512,10,1,row,8.57108,8.57108,8.57108
1,512,512,10,1,row,8.55501,8.55501,8.55501
1,512,512,10,1,row,8.55265,8.55265,8.55265
1,512,512,10,1,row,8.62782,8.62782,8.62782
1,512,512,10,1,row,8.52599,8.52599,8.52599
1,512,512,10,1,row,8.57108,8.57108,8.57108
1,512,512,10,1,row,9.0044,9.0044,9.0044
1,512,512,10,1,row,9.62085,9.62085,9.62085
1,512,512,10,1,row,8.10027,8.10027,8.10027
1,512,512,10,1,row,8.07553,8.07553,8.07553
1,512,512,10,1,row,7.93054,7.93054,7.93054
1,512,512,10,1,row,8.03853,8.03853,8.03853
1,512,512,10,1,row,8.35288,8.35288,8.35288
1,512,512,10,1,row,8.47325,8.47325,8.47325
1,512,512,10,1,row,8.37113,8.37113,8.37113
1,512,512,10,1,row,8.8119,8.8119,8.8119
1,512,512,10,1,row,8.10657,8.10657,8.10657
1,512,512,10,1,row,8.73573,8.73573,8.73573
1,512,512,10,1,row,8.66625,8.66625,8.66625
