Processes,Threads,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
0,1,512,512,100,10,row,8.11068,8.11068,8.11068
0,1,512,512,100,10,row,8.33795,8.33795,8.33795
0,1,512,512,100,10,row,8.05297,8.05297,8.05297
0,1,512,512,100,10,row,8.0173,8.0173,8.0173
0,1,512,512,100,10,row,8.00043,8.00043,8.00043
0,1,512,512,100,10,row,7.93899,7.93899,7.93899
0,1,512,512,100,10,row,7.95586,7.95586,7.95586
0,1,512,512,100,10,row,7.90965,7.90965,7.90965
0,1,512,512,100,10,row,8.14952,8.14952,8.14952
0,1,512,512,100,10,row,7.92286,7.92286,7.92286
0,1,512,512,100,10,row,7.92176,7.92176,7.92176
0,1,512,512,100,10,row,7.91645,7.91645,7.91645
0,1,512,512,100,10,row,7.90961,7.90961,7.90961
0,1,512,512,100,10,row,7.92414,7.92414,7.92414
0,1,512,512,100,10,row,7.84634,7.84634,7.84634
0,1,512,512,100,10,row,7.8796,7.8796,7.8796
0,1,512,512,100,10,row,7.9006,7.9006,7.9006
0,1,512,512,100,10,row,7.91783,7.91783,7.91783
0,1,512,512,100,10,row,7.8658,7.8658,7.8658
0,1,512,512,100,10,row,7.83469,7.83469,7.83469
0,2,512,512,100,10,row,3.49229,4.54652,4.0194
0,2,512,512,100,10,row,3.52123,4.59961,4.06042
0,2,512,512,100,10,row,3.52256,4.57063,4.0466
0,2,512,512,100,10,row,3.60648,4.64925,4.12786
0,2,512,512,100,10,row,3.5727,4.58843,4.08057
0,2,512,512,100,10,row,3.50333,4.58085,4.04209
0,2,512,512,100,10,row,3.5701,4.60743,4.08877
0,2,512,512,100,10,row,3.54379,4.59398,4.06888
0,2,512,512,100,10,row,3.52253,4.58173,4.05213
0,2,512,512,100,10,row,3.55336,4.60234,4.07785
0,2,512,512,100,10,row,3.55046,4.60404,4.07725
0,2,512,512,100,10,row,3.57659,4.65332,4.11495
0,2,512,512,100,10,row,3.56521,4.62081,4.09301
0,2,512,512,100,10,row,3.55599,4.64611,4.10105
0,2,512,512,100,10,row,3.58434,4.65145,4.11789
0,2,512,512,100,10,row,3.5505,4.62526,4.08788
0,2,512,512,100,10,row,3.60627,4.66813,4.1372
0,2,512,512,100,10,row,3.61378,4.67222,4.143
0,2,512,512,100,10,row,3.61469,4.69888,4.15678
0,2,512,512,100,10,row,3.60049,4.75455,4.17752
0,4,512,512,100,10,row,1.43572,2.56305,2.23186
0,4,512,512,100,10,row,1.49976,2.59516,2.29074
0,4,512,512,100,10,row,1.47339,2.59142,2.26638
0,4,512,512,100,10,row,1.48036,2.55157,2.25171
0,4,512,512,100,10,row,1.56127,2.67802,2.36103
0,4,512,512,100,10,row,1.53589,2.68323,2.33445
0,4,512,512,100,10,row,1.50495,2.60086,2.29447
0,4,512,512,100,10,row,1.57639,2.7378,2.37332
0,4,512,512,100,10,row,1.50068,2.61318,2.28776
0,4,512,512,100,10,row,1.50956,2.61565,2.29818
0,4,512,512,100,10,row,1.5396,2.70518,2.34864
0,4,512,512,100,10,row,1.58764,2.57447,2.31912
0,4,512,512,100,10,row,1.53865,2.74326,2.35561
0,4,512,512,100,10,row,1.56929,2.73101,2.362
0,4,512,512,100,10,row,1.54741,2.7377,2.36531
0,4,512,512,100,10,row,1.55397,2.69035,2.33762
0,4,512,512,100,10,row,1.51731,2.67791,2.33442
0,4,512,512,100,10,row,1.52592,2.69122,2.34108
0,4,512,512,100,10,row,1.63001,2.7306,2.36394
0,4,512,512,100,10,row,1.58472,2.76823,2.40017
0,8,512,512,100,10,row,0.829626,1.99049,1.67596
